symbol,row,column,name,count,Z
He,1,18,Helium,0,2
Ne,2,18,Neon,0,10
Ar,3,18,Argon,0,18
Kr,4,18,Krypton,0,36
Xe,5,18,Xenon,0,54
Pm,9,8,Promethium,0,61
Po,6,16,Polonium,0,84
At,6,17,Astatine,0,85
Rn,6,18,Radon,0,86
Fr,7,1,Francium,0,87
Ra,7,2,Radium,0,88
Ac,10,4,Actinium,0,89
Pa,10,6,Protactinium,0,91
Np,10,8,Neptunium,0,93
Pu,10,9,Plutonium,0,94
Am,10,10,Americium,0,95
Cm,10,11,Curium,0,96
Bk,10,12,Berkelium,0,97
Cf,10,13,Californium,0,98
Es,10,14,Einsteinium,0,99
Fm,10,15,Fermium,0,100
Md,10,16,Mendelevium,0,101
No,10,17,Nobelium,0,102
Lr,10,18,Lawrencium,0,103
Rf,7,4,Rutherfordium,0,104
Db,7,5,Dubnium,0,105
Sg,7,6,Seaborgium,0,106
Bh,7,7,Bohrium,0,107
Hs,7,8,Hassium,0,108
Mt,7,9,Meitnerium,0,109
Ds,7,10,Darmstadtium,0,110
Rg,7,11,Roentgenium,0,111
Cn,7,12,Copernicium,0,112
Nh,7,13,Nihonium,0,113
Fl,7,14,Flerovium,0,114
Mc,7,15,Moscovium,0,115
Lv,7,16,Livermorium,0,116
Ts,7,17,Tennessine,0,117
Og,7,18,Oganesson,0,118
Tc,5,7,Technetium,0,43
Tm,9,16,Thulium,0,69
Re,6,7,Rhenium,0,75
Be,2,2,Beryllium,0,4
U,10,7,Uranium,0,92
Hf,6,4,Hafnium,0,72
Rh,5,9,Rhodium,0,45
Au,6,11,Gold,0,79
Os,6,8,Osmium,0,76
Ho,9,14,Holmium,0,67
Ir,6,9,Iridium,0,77
Ni,4,10,Nickel,0,28
Ru,5,8,Ruthenium,0,44
W,6,6,Tungsten,0,74
Th,10,5,Thorium,0,90
Pt,6,10,Platinum,0,78
Tb,9,12,Terbium,0,65
Lu,9,18,Lutetium,0,71
Co,4,9,Cobalt,0,27
Er,9,15,Erbium,0,68
Pd,5,10,Palladium,0,46
Cr,4,6,Chromium,0,24
Zr,5,4,Zirconium,0,40
Dy,9,13,Dysprosium,0,66
Nd,9,7,Neodymium,0,60
Sc,4,3,Scandium,0,21
Pr,9,6,Praseodymium,0,59
Mg,3,2,Magnesium,0,12
Yb,9,17,Ytterbium,0,70
Fe,4,8,Iron,0,26
Ce,9,5,Cerium,0,58
Ti,4,4,Titanium,0,22
Ca,4,2,Calcium,0,20
Mn,4,7,Manganese,0,25
Mo,5,6,Molybdenum,0,42
Gd,9,11,Gadolinium,0,64
Nb,5,5,Niobium,0,41
Sr,5,2,Strontium,0,38
Sm,9,9,Samarium,0,62
V,4,5,Vanadium,0,23
Br,4,17,Bromine,0,35
Ta,6,5,Tantalum,0,73
Eu,9,10,Europium,0,63
Al,3,13,Aluminum,0,13
Y,5,3,Yttrium,0,39
Cl,3,17,Chlorine,0,17
F,2,17,Fluorine,0,9
La,9,4,Lanthanum,0,57
Tl,6,13,Thallium,0,81
Si,3,14,Silicon,0,14
Li,2,1,Lithium,0,3
Na,3,1,Sodium,0,11
Rb,5,1,Rubidium,0,37
Hg,6,12,Mercury,0,80
Ag,5,11,Silver,0,47
Zn,4,12,Zinc,0,30
Cs,6,1,Cesium,0,55
H,1,1,Hydrogen,0,1
Pb,6,14,Lead,0,82
K,4,1,Potassium,0,19
Sn,5,14,Tin,0,50
Ba,6,2,Barium,0,56
Bi,6,15,Bismuth,0,83
Cd,5,12,Cadmium,0,48
As,4,15,Arsenic,0,33
Cu,4,11,Copper,0,29
Ge,4,14,Germanium,0,32
N,2,15,Nitrogen,0,7
Sb,5,15,Antimony,0,51
In,5,13,Indium,0,49
Ga,4,13,Gallium,0,31
I,5,17,Iodine,0,53
Te,5,16,Tellurium,0,52
P,3,15,Phosphorus,0,15
B,2,13,Boron,0,5
O,2,16,Oxygen,0,8
Se,4,16,Selenium,0,34
C,2,14,Carbon,0,6
S,3,16,Sulfur,0,16
